source,target
HRS2006Q81,HRS2008Q83
HRS2006Q82,HRS2008Q84
HRS2006Q83,HRS2008Q85
HRS2006Q84,HRS2008Q86
HRS2006Q85,HRS2008Q87
HRS2006Q123,HRS2008Q116
HRS2006Q124,HRS2008Q117
HRS2006Q1859,HRS2008Q1472
HRS2006Q1901,HRS2008Q1510
HRS2006Q289,HRS2008Q277
HRS2006Q344,HRS2008Q330
HRS2006Q290,HRS2008Q279
HRS2006Q345,HRS2008Q332
HRS2006Q291,HRS2008Q280
HRS2006Q346,HRS2008Q333
HRS2006Q323,HRS2008Q298
HRS2006Q378,HRS2008Q351
HRS2006Q292,HRS2008Q283
HRS2006Q347,HRS2008Q336
HRS2006Q296,HRS2008Q287
HRS2006Q351,HRS2008Q340
HRS2006Q300,HRS2008Q291
HRS2006Q355,HRS2008Q344
